거두절미 올해 최고의 걸작,'9.75'
한잔의 차가 몸에 스며들듯  세포 하나하나까지 전달되고 흡수되는 인생 지침서,'7'
하루가 영원이 되는 시간을 다도에 담아,'7'
재미있고 제대로 입체적인 3D 애니,'7.75'
[쿵푸 팬더]와 쌍두마차,'7.75'
나라면 이크란 대신 투슬리스를 타겠다,'8'
아아아. 더 날게 해줘,'8'
고양이를 키우는 사람들이라면 열광하지 않을 수 없다,'7'
드림웍스의 쾌거,'9'
OMG  용과 사랑에 빠지게 될 줄이야,'8'
온 가족이 훨훨 날아보시라,'7'
드림웍스도 이제 작품을 만드는구나,'7'
<아바타>보다 신나는 3D도 있다,'7'
그러니까  가끔은 3D로 봐야만 하는 영화가 있어요,'8'
